plant_id,common_name,common_name_id
HERB0001,Toothpick plant (Eng.),1
HERB0002,Morang elaichi,2
HERB0003,"Bari elachi, Baara aliach (Beng.)",3
HERB0004,Nira-brahmi,4
SHRUB0005,"Hingan, Hingot",5
HERB0006,Danti,6
SHRUB0007,"Kantikaranjua, Kat-karanj",7
SHRUB0008,Dividivi (Tel.),8
SHRUB0009,"Karanju, Katkaranj",9
SHRUB0010,Vakeri-mul,10
SHRUB0011,Guletura,11
TREE0012,"Bakam, Patang",12
HERB0013,"Arhar, Tur",13
GRASS0014,Gharaniagas (Rajasthan),14
HERB0015,Safed musli,15
TREE0016,"Bhirra, Girya",16
SEAWEED0017,Irish Moss (Eng.),17
HERB0018,Neelkanthi (Local name),18
CLIMBER0019,Kondage (Kan.),19
CLIMBER0020,"Hadjora, Harsankari",20
CLIMBER0021,Nelaboddu (Tel.),21
HERB0022,Pilo agio (Gujrati),22
CREEPER0023,"Indrayan, Makal",23
TREE0024,Kaghzi-nimbu,24
TREE0025,Khatta,25
TREE0026,"Chakotra, Mahanimbu",26
TREE0027,"Bara nimbu, Bijaura",27
TREE0028,"Musambi, Narangi",28
SHRUB0029,Laping Budak (Malay),29
SHRUB0030,Cemamar,30
SHRUB0031,Ratanjote,31
SHRUB0032,Garari,32
CLIMBER0033,Telejadari (Kan.),33
CLIMBER0034,Gurraputige (Tel.),34
CLIMBER0035,Murhari,35
HERB0036,Gulabi Tilwan (Local names),36
HERB0037,"Hulul, Churota",37
HERB0038,Velakkeerai (Local name),38
HERB0039,Thumbai (Local name),39
SHRUB0040,Sarala,40
SHRUB0041,Naga sura,41
TREE0042,Robusta Coffee,42
TREE0043,Liberica Coffee,43
CLIMBER0044,Field bindweed,44
TREE0045,Tendu,45
TREE0046,Bhokar,46
HERB0047,Giant Crinum Lily,47
HERB0048,Broad-leaved Crinum,48
CREEPER0049,Cucumber,49
CREEPER0050,Pumpkin,50
CREEPER0051,Squash,51
HERB0052,Turmeric,52
HERB0053,Wild Turmeric,53
HERB0054,Nutgrass,54
HERB0055,Jimson Weed,55
HERB0056,Salap,56
HERB0057,Kachur,57
HERB0058,Carnation,58
TREE0059,Blue Gum,59
TREE0060,Fig,60
TREE0061,Banyan Tree,61
TREE0062,Peepal Tree,62
TREE0063,Mangosteen,63
HERB0064,Cotton,64
SHRUB0065,China Rose,65
HERB0066,Roselle,66
CREEPER0067,Sweet Potato,67
SHRUB0068,Arabian Jasmine,68
SHRUB0069,Royal Jasmine,69
SHRUB0070,Common Jasmine,70
HERB0071,Cress,71
HERB0072,Motherwort,72
TREE0073,Chinaberry Tree,73
TREE0074,Drumstick Tree,74
CLIMBER0075,Velvet Bean,75
SHRUB0076,Curry Leaf,76
SHRUB0077,Leadwort,77
TREE0078,Pomegranate,78
HERB0079,Castor Bean,79
HERB0080,Manjistha,80
TREE0081,Sandalwood,81
HERB0082,Black Nightshade,82
HERB0083,Potato,83
TREE0084,Jamun,84
TREE0085,Bibhitaki,85
TREE0086,Haritaki,86
HERB0087,Gokshura,87
SHRUB0088,Wild Jute,88
SHRUB0089,Ashwagandha,89
HERB0090,Cocklebur,90
TREE0091,Jujube,91
