family_name,family_id
APIACEAE,1
ZINGIBERACEAE,2
SCROPHULARIACEAE,3
BALANITACEAE,4
EUPHORBIACEAE,5
CAESALPINIACEAE,6
FABACEAE,7
POACEAE,8
ILIACEAE,9
RUTACEAE,10
GIGARTINIACEAE,11
VITACEAE,12
OROBANCHACEAE,13
CUCURBITACEAE,14
RANUNCULACEAE,15
CAPPARACEAE,16
VERBENACEAE,17
RUBIACEAE,18
CONVOLVULACEAE,19
CORDIACEAE,20
AMARYLLIDACEAE,21
CYPERACEAE,22
SOLANACEAE,23
CARYOPHYLLACEAE,24
MYRTACEAE,25
MORACEAE,26
CLUSIACEAE,27
MALVACEAE,28
OLEACEAE,29
BRASSICACEAE,30
LAMIACEAE,31
MELIACEAE,32
MORINGACEAE,33
PLUMBAGINACEAE,34
PUNICACEAE,35
SANTALACEAE,36
COMBRETACEAE,37
ZYGOPHYLLACEAE,38
ASTERACEAE,39
Rhamnaceae,40
