plant_id,region_name,region_id
HERB0001,Found in India and North Africa.,1
HERB0002,Native to India.,2
HERB0003,Found in northeastern India.,3
HERB0004,Found in tropical and subtropical regions of India.,4
SHRUB0005,Found in arid regions of India.,5
HERB0006,Found in various regions of India.,6
SHRUB0007,Found in tropical and subtropical India.,7
SHRUB0008,Found in tropical India.,8
SHRUB0009,Native to India and Southeast Asia.,9
SHRUB0010,Found in tropical regions of India.,10
SHRUB0011,Common in tropical regions of India.,11
TREE0012,Found in tropical and subtropical India.,12
HERB0013,Widespread in India.,13
GRASS0014,Found in arid and semi-arid regions of India.,14
HERB0015,Found in Indian hills and forests.,15
TREE0016,Found in tropical and subtropical India.,16
SEAWEED0017,"Not native to India, commonly found in coastal regions.",17
HERB0018,Found in various regions of India.,18
CLIMBER0019,Found in tropical and subtropical India.,19
CLIMBER0020,Found in India.,20
CLIMBER0021,Found in tropical India.,21
HERB0022,Found in arid and semi-arid regions of India.,22
CREEPER0023,Found in arid regions of India.,23
TREE0024,Widespread in India.,24
TREE0025,Found in tropical regions of India.,25
TREE0026,Found in tropical and subtropical India.,26
TREE0027,Found in various regions of India.,27
TREE0028,Widespread in India.,28
SHRUB0029,Found in tropical regions of India.,29
SHRUB0030,Found in tropical and subtropical India.,30
SHRUB0031,Found in various regions of India.,31
SHRUB0032,Found in tropical India.,32
CLIMBER0033,Found in hilly regions of India.,33
CLIMBER0034,Found in hilly regions of India.,34
CLIMBER0035,Found in various regions of India.,35
HERB0036,Found in various regions of India.,36
HERB0037,Found in various regions of India.,37
HERB0038,Found in tropical regions of India.,38
HERB0039,Found in various regions of India.,39
SHRUB0040,Found in tropical regions of India.,40
SHRUB0041,Found in tropical regions of India.,41
TREE0042,Cultivated in southern India.,42
TREE0043,Cultivated in tropical regions of India.,43
CLIMBER0044,Found in various regions of India.,44
TREE0045,Found in tropical regions of India.,45
TREE0046,Found in tropical regions of India.,46
HERB0047,Found in tropical regions of India.,47
HERB0048,Found in tropical regions of India.,48
CREEPER0049,Widespread in India.,49
CREEPER0050,Widespread in India.,50
CREEPER0051,Found in various regions of India.,51
HERB0052,Found in tropical regions of India.,52
HERB0053,Found in tropical regions of India.,53
HERB0054,Found in various regions of India.,54
HERB0055,Found in various regions of India.,55
HERB0056,Found in tropical and subtropical regions of India.,56
HERB0057,Found in various regions of India.,57
HERB0058,Found in various regions of India.,58
TREE0059,Cultivated in various regions of India.,59
TREE0060,Found in various regions of India.,60
TREE0061,Found in various regions of India.,61
TREE0062,Found in various regions of India.,62
TREE0063,Cultivated in tropical regions of India.,63
HERB0064,Found in various regions of India.,64
SHRUB0065,Cultivated in various regions of India.,65
HERB0066,Found in tropical regions of India.,66
CREEPER0067,Found in tropical regions of India.,67
SHRUB0068,Cultivated in various regions of India.,68
SHRUB0069,Cultivated in various regions of India.,69
SHRUB0070,Cultivated in various regions of India.,70
HERB0071,Found in various regions of India.,71
HERB0072,Found in various regions of India.,72
TREE0073,Found in various regions of India.,73
TREE0074,Found in tropical regions of India.,74
CLIMBER0075,Found in tropical regions of India.,75
SHRUB0076,Found in various regions of India.,76
SHRUB0077,Found in various regions of India.,77
TREE0078,Found in various regions of India.,78
HERB0079,Found in various regions of India.,79
HERB0080,Found in various regions of India.,80
TREE0081,Found in tropical regions of India.,81
HERB0082,Found in various regions of India.,82
HERB0083,Found in various regions of India.,83
TREE0084,Found in tropical and subtropical regions of India.,84
TREE0085,Found in tropical regions of India.,85
TREE0086,Found in tropical regions of India.,86
HERB0087,Found in various regions of India.,87
SHRUB0088,Found in tropical regions of India.,88
SHRUB0089,Found in various regions of India.,89
HERB0090,Found in various regions of India.,90
TREE0091,Found in various regions of India.,91
