plant_id,scientific_name,family,uses,region,type,description
HERB0001,Ammi visnaga (L.) Lam.,APIACEAE,Fruits are used as a mild stomachic and carminative in flatulent colic.,Found in India and North Africa.,Herb,"A climbing plant native to tropical regions, known for its medicinal properties and used in traditional medicine for treating digestive and skin issues."
HERB0002,Amomum aromaticum Roxb.,ZINGIBERACEAE,"Seeds yield a medicinal oil and act as a stomachic, used to allay irritation of the stomach produced either by cholera or other infections.",Native to India.,Herb,"A succulent vine native to tropical regions, used in traditional medicine for its digestive and anti-inflammatory properties."
HERB0003,Amomum subulatum Roxb.,ZINGIBERACEAE,Seed oil is used as a stomachic and to allay irritation of the stomach produced either by cholera or other infections.,Found in northeastern India.,Herb,"A small vine native to tropical regions, known for its use in traditional medicine to treat digestive and respiratory issues."
HERB0004,Bacopa monnieri (L.) Pennell,SCROPHULARIACEAE,Commonly said to have properties that improve intellect and cure insanity and other nervous diseases.,Found in tropical and subtropical regions of India.,Herb,"A climbing shrub native to tropical regions, known for its medicinal properties and use in traditional medicine for digestive and skin conditions."
SHRUB0005,Balanites aegyptiaca (L.) Delile,BALANITACEAE,"Unripe fruits are used as a cathartic. Ripe fruits are used for whooping cough and skin troubles. Bark is anthelmintic. Seeds are expectorant, used in whooping cough and for colic. Seed extract is hypotensive.",Found in arid regions of India.,Shrub,"A climbing vine native to tropical regions, used in traditional medicine for its anti-inflammatory and digestive properties."
HERB0006,Baliospermum montanum (Willd.) Muell.Arg.,EUPHORBIACEAE,Seeds are purgative. Oil from the seeds is a powerful hydragogue cathartic. It is used externally to treat rheumatism. Roots are purgative.,Found in various regions of India.,Herb,"A small climbing vine native to tropical regions, valued for its use in traditional medicine for treating digestive and skin conditions."
SHRUB0007,Caesalpinia bonduc (L.) Roxb.,CAESALPINIACEAE,"Seed roasted and used as an antidiabetic preparation. Leaf, bark, and seed are febrifuge. Leaf and bark are emmenagogue and anthelmintic. Root is diuretic and anticalculous.",Found in tropical and subtropical India.,Shrub,"A climbing vine native to temperate regions, used in traditional medicine for its anti-inflammatory and digestive properties."
SHRUB0008,Caesalpinia coriaria (Jacq.) Willd.,CAESALPINIACEAE,Pods are used to stop bleeding in piles.,Found in tropical India.,Shrub,"A climbing plant native to tropical regions, known for its medicinal seeds used to treat neurological and digestive issues."
SHRUB0009,Caesalpinia crista L.,CAESALPINIACEAE,"Fruits are tonic and antipyretic. Seeds yield a fatty oil, used as a cosmetic and for discharges from the ear. Seeds are employed for colic.",Native to India and Southeast Asia.,Shrub,"A small herbaceous plant native to Africa and the Middle East, used in traditional medicine for its anti-inflammatory and digestive benefits."
SHRUB0010,Caesalpinia digyna Rottler,CAESALPINIACEAE,"Root is astringent and antipyretic, used in phthisis and scrofulous infections.",Found in tropical regions of India.,Shrub,"A widely cultivated vine native to India, known for its edible fruit and use in traditional medicine for digestive issues."
